call_id,file_path,duration_s,caller_speech_s,speech_turns,is_synthetic,confidence,verdict,latency_ms,ground_truth,correct
call_0294f969f98b,Data/audio/test/call_0294f969f98b.wav,108.78,22.42,15,True,0.9204,SYNTHETIC,1334.78,SYNTHETIC,True
call_0294f969f98b,Data/audio/test/call_0294f969f98b.wav,108.78,22.42,15,True,0.9204,SYNTHETIC,333.94,SYNTHETIC,True
call_0847d7417bb1,Data/audio/test/call_0847d7417bb1.wav,115.4,30.91,8,True,0.5384,SYNTHETIC,307.92,SYNTHETIC,True
call_0847d7417bb1,Data/audio/test/call_0847d7417bb1.wav,115.4,30.91,8,True,0.5384,SYNTHETIC,305.93,SYNTHETIC,True
call_0cf2f4a71328,Data/audio/test/call_0cf2f4a71328.wav,159.0,56.95,11,True,0.5144,SYNTHETIC,374.14,SYNTHETIC,True
call_0cf2f4a71328,Data/audio/test/call_0cf2f4a71328.wav,159.0,56.95,11,True,0.5144,SYNTHETIC,367.23,SYNTHETIC,True
call_0e1e2f29bfdc,Data/audio/test/call_0e1e2f29bfdc.wav,129.44,26.94,10,False,0.0182,HUMAN,321.79,HUMAN,True
call_0e1e2f29bfdc,Data/audio/test/call_0e1e2f29bfdc.wav,129.44,26.94,10,False,0.0182,HUMAN,357.39,HUMAN,True
call_10aa0d1d33f0,Data/audio/test/call_10aa0d1d33f0.wav,136.16,25.7,12,False,0.0204,HUMAN,371.95,HUMAN,True
call_10aa0d1d33f0,Data/audio/test/call_10aa0d1d33f0.wav,136.16,25.7,12,False,0.0204,HUMAN,345.75,HUMAN,True
call_120d6007bcc1,Data/audio/test/call_120d6007bcc1.wav,157.28,58.37,12,True,0.4534,SYNTHETIC,394.76,SYNTHETIC,True
call_120d6007bcc1,Data/audio/test/call_120d6007bcc1.wav,157.28,58.37,12,True,0.4534,SYNTHETIC,336.98,SYNTHETIC,True
call_181a5049ecae,Data/audio/test/call_181a5049ecae.wav,142.42,35.0,11,True,0.4538,SYNTHETIC,755.75,SYNTHETIC,True
call_181a5049ecae,Data/audio/test/call_181a5049ecae.wav,142.42,35.0,11,True,0.4538,SYNTHETIC,314.28,SYNTHETIC,True
call_185e958a253b,Data/audio/test/call_185e958a253b.wav,135.2,33.53,17,False,0.0222,HUMAN,426.68,HUMAN,True
call_185e958a253b,Data/audio/test/call_185e958a253b.wav,135.2,33.53,17,False,0.0222,HUMAN,308.38,HUMAN,True
call_198ef413fe4a,Data/audio/test/call_198ef413fe4a.wav,127.68,33.14,11,False,0.0182,HUMAN,328.94,HUMAN,True
call_198ef413fe4a,Data/audio/test/call_198ef413fe4a.wav,127.68,33.14,11,False,0.0182,HUMAN,386.17,HUMAN,True
call_1c1c0cce9fb5,Data/audio/test/call_1c1c0cce9fb5.wav,144.78,35.01,21,False,0.0191,HUMAN,481.7,HUMAN,True
call_1c1c0cce9fb5,Data/audio/test/call_1c1c0cce9fb5.wav,144.78,35.01,21,False,0.0191,HUMAN,389.97,HUMAN,True
call_2d4374d86df7,Data/audio/test/call_2d4374d86df7.wav,172.18,162.92,7,False,0.1319,HUMAN,400.28,SYNTHETIC,False
