audio_id,ground_truth,duration_s,rawnet2_score,rawnet2_prediction,rawnet2_is_correct,rawnet2_latency_ms,aasistl_score,aasistl_prediction,aasistl_is_correct,aasistl_latency_ms
call_0294f969f98b,synthetic,17.85,0.2,SYNTHETIC,True,240.83,41.7,SYNTHETIC,True,799.26
call_0847d7417bb1,synthetic,27.39,0.2,SYNTHETIC,True,246.3,44.4,SYNTHETIC,True,850.21
call_0cf2f4a71328,synthetic,52.32,0.2,SYNTHETIC,True,272.01,48.4,SYNTHETIC,True,798.34
call_0e1e2f29bfdc,human,24.51,0.2,SYNTHETIC,False,265.77,50.5,HUMAN,True,793.06
call_10aa0d1d33f0,human,25.75,0.2,SYNTHETIC,False,255.22,51.0,HUMAN,True,803.77
call_120d6007bcc1,synthetic,53.47,0.2,SYNTHETIC,True,235.18,40.6,SYNTHETIC,True,811.51
call_181a5049ecae,synthetic,30.93,0.2,SYNTHETIC,True,235.73,47.0,SYNTHETIC,True,798.49
call_185e958a253b,human,31.07,0.2,SYNTHETIC,False,261.18,46.1,SYNTHETIC,False,866.6
call_198ef413fe4a,human,31.58,0.2,SYNTHETIC,False,176.56,45.5,SYNTHETIC,False,814.71
call_1c1c0cce9fb5,human,33.37,0.2,SYNTHETIC,False,163.48,51.2,HUMAN,True,818.69
call_2d4374d86df7,synthetic,49.01,0.2,SYNTHETIC,True,210.53,48.4,SYNTHETIC,True,797.2
call_36d72e4b1aef,synthetic,39.01,0.2,SYNTHETIC,True,200.8,42.3,SYNTHETIC,True,914.28
call_3b9afdd4a2df,human,30.24,0.2,SYNTHETIC,False,173.93,42.4,SYNTHETIC,False,855.92
call_47bef2f628eb,human,29.19,0.2,SYNTHETIC,False,324.18,51.0,HUMAN,True,684.82
call_4affad158a4c,synthetic,29.13,0.2,SYNTHETIC,True,241.26,39.5,SYNTHETIC,True,821.21
call_569ffb0869eb,human,37.76,0.2,SYNTHETIC,False,295.85,53.5,HUMAN,True,917.07
