call_id,true_label,pred_synthetic,confidence,correct,duration_sec,proc_time_sec,rtf,total_turns,filler_count,filler_density,detected_fillers,semantic_authenticity_score,json_path
call_0294f969f98b,synthetic,True,0.9305,True,108.78,12.56,0.058,25,2,0.0351,"a ver, ajá",0.5877,Data/dataset_transcripts/call_0294f969f98b_transcript.json
call_0847d7417bb1,synthetic,True,0.9834,True,115.4,10.24,0.044,19,0,0.0,,0.5,Data/dataset_transcripts/call_0847d7417bb1_transcript.json
call_0cf2f4a71328,synthetic,True,0.9871,True,159.0,15.12,0.048,28,6,0.0417,"verdad, pues, a ver, ajá, ah, o sea",0.6042,Data/dataset_transcripts/call_0cf2f4a71328_transcript.json
call_0e1e2f29bfdc,human,False,0.9797,True,129.44,14.11,0.054,31,2,0.0241,"a ver, o sea",0.5603,Data/dataset_transcripts/call_0e1e2f29bfdc_transcript.json
call_10aa0d1d33f0,human,False,0.9689,True,136.16,12.98,0.048,35,1,0.0182,mira,0.5455,Data/dataset_transcripts/call_10aa0d1d33f0_transcript.json
call_120d6007bcc1,synthetic,True,0.9864,True,157.28,15.89,0.05,27,2,0.0178,"verdad, este",0.5445,Data/dataset_transcripts/call_120d6007bcc1_transcript.json
call_181a5049ecae,synthetic,True,0.9839,True,142.42,13.39,0.047,19,1,0.0099,pues,0.5248,Data/dataset_transcripts/call_181a5049ecae_transcript.json
call_185e958a253b,human,True,0.6191,False,135.2,13.93,0.051,29,2,0.0267,"mira, pues",0.5667,Data/dataset_transcripts/call_185e958a253b_transcript.json
call_198ef413fe4a,human,False,0.9829,True,127.68,13.05,0.051,18,2,0.027,"verdad, este",0.5675,Data/dataset_transcripts/call_198ef413fe4a_transcript.json
call_1c1c0cce9fb5,human,False,0.9378,True,144.78,14.97,0.052,16,0,0.0,,0.5,Data/dataset_transcripts/call_1c1c0cce9fb5_transcript.json
call_2d4374d86df7,synthetic,True,0.9579,True,172.18,16.64,0.048,23,0,0.0,,0.5,Data/dataset_transcripts/call_2d4374d86df7_transcript.json
call_36d72e4b1aef,synthetic,True,0.9823,True,142.92,13.94,0.049,29,1,0.0075,a ver,0.5188,Data/dataset_transcripts/call_36d72e4b1aef_transcript.json
call_3b9afdd4a2df,human,False,0.9666,True,156.28,16.48,0.053,23,0,0.0,,0.5,Data/dataset_transcripts/call_3b9afdd4a2df_transcript.json
call_47bef2f628eb,human,False,0.9675,True,145.9,14.43,0.049,34,1,0.0128,este,0.532,Data/dataset_transcripts/call_47bef2f628eb_transcript.json
call_4affad158a4c,synthetic,True,0.9731,True,164.7,15.64,0.047,35,2,0.018,"pues, este",0.545,Data/dataset_transcripts/call_4affad158a4c_transcript.json
call_569ffb0869eb,human,False,0.967,True,134.38,18.74,0.07,32,1,0.013,pues,0.5325,Data/dataset_transcripts/call_569ffb0869eb_transcript.json
call_58ed2170e352,human,False,0.7782,True,133.64,12.77,0.048,19,0,0.0,,0.5,Data/dataset_transcripts/call_58ed2170e352_transcript.json
call_5e4539a471f6,synthetic,True,0.9806,True,96.24,5.35,0.028,5,2,0.0741,"eh, bueno",0.6853,Data/dataset_transcripts/call_5e4539a471f6_transcript.json
call_6058d9c5c82f,synthetic,True,0.9774,True,153.18,14.5,0.047,27,0,0.0,,0.5,Data/dataset_transcripts/call_6058d9c5c82f_transcript.json
call_64637c20ee66,human,False,0.9805,True,146.64,19.6,0.067,15,0,0.0,,0.5,Data/dataset_transcripts/call_64637c20ee66_transcript.json
call_678ee1dd2242,human,False,0.9793,True,166.7,20.31,0.061,28,1,0.0043,bueno,0.5108,Data/dataset_transcripts/call_678ee1dd2242_transcript.json
call_6971b2685c1d,human,False,0.9793,True,97.42,14.3,0.073,17,3,0.075,"pues, eh, bueno",0.6875,Data/dataset_transcripts/call_6971b2685c1d_transcript.json
